id,original_title,genres
1044,중국어회화,"[{'id': 6, 'name': '글로벌'}, {'id': 8, 'name': '문화'}, {'id': 7, 'name': '정보'}]"
1045,회계원리,"[{'id': 13, 'name': '수학'}, {'id': 10, 'name': '과학'}, {'id': 12, 'name': '컴퓨터'}]"
1046,경영정보시스템,"[{'id': 8, 'name': '경영'}, {'id': 13, 'name': '수학'}, {'id': 7, 'name': '정보'}]"
1047,국제경영학,"[{'id': 8, 'name': '경영'}, {'id': 13, 'name': '수학'}, {'id': 7, 'name': '정보'}]"
1048,유통관리론,"[{'id': 8, 'name': '경영'}, {'id': 13, 'name': '수학'}, {'id': 7, 'name': '정보'}]"
1049,무역실무,"[{'id': 8, 'name': '경영'}, {'id': 13, 'name': '수학'}, {'id': 7, 'name': '정보'}]"
1050,마케팅조사론,"[{'id': 8, 'name': '경영'}, {'id': 13, 'name': '수학'}, {'id': 7, 'name': '정보'}]"
1051,호텔경영론,"[{'id': 8, 'name': '경영'}, {'id': 5, 'name': '문화'}, {'id': 7, 'name': '정보'}]"
1052,식음료경영론,"[{'id': 8, 'name': '경영'}, {'id': 5, 'name': '문화'}, {'id': 7, 'name': '정보'}]"
1053,데이터 구조,"[{'id': 11, 'name': '정보통신'}, {'id': 10, 'name': '과학'}, {'id': 12, 'name': '컴퓨터'}]"
1054,정보보안,"[{'id': 11, 'name': '정보통신'}, {'id': 10, 'name': '과학'}, {'id': 12, 'name': '컴퓨터'}]"
1055,웹프로그래밍,"[{'id': 11, 'name': '정보통신'}, {'id': 10, 'name': '과학'}, {'id': 12, 'name': '컴퓨터'}]"
1056,시스템프로그래밍,"[{'id': 11, 'name': '정보통신'}, {'id': 10, 'name': '과학'}, {'id': 12, 'name': '컴퓨터'}]"
1057,알고리즘,"[{'id': 11, 'name': '정보통신'}, {'id': 10, 'name': '과학'}, {'id': 12, 'name': '컴퓨터'}]"
1058,소프트웨어공학,"[{'id': 11, 'name': '정보통신'}, {'id': 10, 'name': '과학'}, {'id': 12, 'name': '컴퓨터'}]"
1059,자바 프로그래밍,"[{'id': 11, 'name': '정보통신'}, {'id': 10, 'name': '과학'}, {'id': 12, 'name': '컴퓨터'}]"
1060,리눅스 프로그래밍,"[{'id': 11, 'name': '정보통신'}, {'id': 10, 'name': '과학'}, {'id': 12, 'name': '컴퓨터'}]"
1061,통계 프로그래밍 기초,"[{'id': 13, 'name': '수학'}, {'id': 10, 'name': '과학'}, {'id': 11, 'name': '정보통신'}]"
1062,선형대수,"[{'id': 13, 'name': '수학'}, {'id': 10, 'name': '과학'}, {'id': 11, 'name': '정보통신'}]"
1063,인공지능,"[{'id': 11, 'name': '정보통신'}, {'id': 10, 'name': '과학'}, {'id': 12, 'name': '컴퓨터'}]"
1064,네트워크 프로그래밍,"[{'id': 11, 'name': '정보통신'}, {'id': 10, 'name': '과학'}, {'id': 12, 'name': '컴퓨터'}]"
1065,데이터 마이닝,"[{'id': 11, 'name': '정보통신'}, {'id': 10, 'name': '과학'}, {'id': 12, 'name': '컴퓨터'}]"
1066,객체지향 프로그래밍,"[{'id': 11, 'name': '정보통신'}, {'id': 10, 'name': '과학'}, {'id': 12, 'name': '컴퓨터'}]"
1067,데이터분석,"[{'id': 11, 'name': '정보통신'}, {'id': 10, 'name': '과학'}, {'id': 12, 'name': '컴퓨터'}]"
